question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_choices,explanation_correct,explanation_summary,explanation_point,explanation_mode
11,single,火災・消火・漏えい,PF-001;PF-001;第4類共通性質;第4類危険物の共通性質;標準;重点,第4類危険物の一般的な性質として、正しいものはどれか。,,,,,,加熱しても可燃性蒸気を発生しない。,第4類危険物は、引火性液体である。,酸素を放出して他の物質を燃焼させる。,すべて空気より軽い蒸気を発生する。,すべて水に沈み、水に完全に溶ける。,2,"第4類危険物は引火性液体である。多くは可燃性蒸気を発生し、その蒸気に引火する危険がある。

【試験ポイント】第4類危険物は引火性液体。

【ひっかけ】酸化性液体や酸化性固体と混同しない。

【選択肢ア】誤り。可燃性蒸気を発生することがある。

【選択肢イ】正しい。第4類危険物は引火性液体である。

【選択肢ウ】誤り。酸素を放出して他の物質を燃焼させる性質は主に酸化性物質の性質である。

【選択肢エ】誤り。多くの第4類危険物の蒸気は空気より重い。

【選択肢オ】誤り。第4類危険物には水に溶けるものと溶けにくいものがある。",1:誤り。可燃性蒸気を発生することがある。;3:誤り。酸素を放出して他の物質を燃焼させる性質は主に酸化性物質の性質である。;4:誤り。多くの第4類危険物の蒸気は空気より重い。;5:誤り。第4類危険物には水に溶けるものと溶けにくいものがある。,第4類危険物は引火性液体である。多くは可燃性蒸気を発生し、その蒸気に引火する危険がある。 正しい。第4類危険物は引火性液体である。,第4類危険物は引火性液体である。,第4類危険物は引火性液体。 酸化性液体や酸化性固体と混同しない。,
12,single,火災・消火・漏えい,PF-002;PF-018;第一石油類;ガソリン;標準;重点,ガソリンの性質として、正しいものはどれか。,,,,,,揮発しやすく、発生した蒸気は引火危険が大きい。,水より重く、水に沈む。,不燃性液体である。,引火しにくく、常温では可燃性蒸気を発生しない。,水に完全に溶けるため、流出しても危険はない。,1,"ガソリンは揮発しやすく、可燃性蒸気を発生しやすい。蒸気は低所に滞留しやすく、火気や静電気による引火に注意が必要である。

【試験ポイント】ガソリンは揮発しやすく、蒸気に引火しやすい。

【ひっかけ】液体そのものより、発生した蒸気の引火危険を意識する。

【選択肢ア】正しい。ガソリンの重要な性質である。

【選択肢イ】誤り。ガソリンは一般に水より軽く、水に溶けにくい。

【選択肢ウ】誤り。ガソリンは引火性液体である。

【選択肢エ】誤り。ガソリンは引火危険が大きい。

【選択肢オ】誤り。ガソリンは水に完全に溶けるわけではなく、流出時も危険である。",2:誤り。ガソリンは一般に水より軽く、水に溶けにくい。;3:誤り。ガソリンは引火性液体である。;4:誤り。ガソリンは引火危険が大きい。;5:誤り。ガソリンは水に完全に溶けるわけではなく、流出時も危険である。,ガソリンは揮発しやすく、可燃性蒸気を発生しやすい。蒸気は低所に滞留しやすく、火気や静電気による引火に注意が必要である。 正しい。ガソリンの重要な性質である。,ガソリンは揮発しやすく、可燃性蒸気を発生しやすい。,ガソリンは揮発しやすく、蒸気に引火しやすい。 液体そのものより、発生した蒸気の引火危険を意識する。,
13,single,火災・消火・漏えい,PF-003;PF-022;アルコール類;アルコール類の性質;標準;重点,アルコール類の代表例として、正しいものはどれか。,,,,,,ガソリン,重油,メタノール,灯油,二硫化炭素,3,"メタノールはアルコール類の代表例である。ガソリンは第一石油類、灯油は第二石油類、重油は第三石油類、二硫化炭素は特殊引火物に該当する。

【試験ポイント】メタノール・エタノールはアルコール類の代表例。

【ひっかけ】アルコール類と第一石油類・第二石油類を混同しない。

【選択肢ア】誤り。ガソリンは第一石油類である。

【選択肢イ】誤り。重油は第三石油類である。

【選択肢ウ】正しい。メタノールはアルコール類である。

【選択肢エ】誤り。灯油は第二石油類である。

【選択肢オ】誤り。二硫化炭素は特殊引火物である。",1:誤り。ガソリンは第一石油類である。;2:誤り。重油は第三石油類である。;4:誤り。灯油は第二石油類である。;5:誤り。二硫化炭素は特殊引火物である。,メタノールはアルコール類の代表例である。ガソリンは第一石油類、灯油は第二石油類、重油は第三石油類、二硫化炭素は特殊引火物に該当する。 正しい。メタノールはアルコール類である。,メタノールはアルコール類の代表例である。,メタノール・エタノールはアルコール類の代表例。 アルコール類と第一石油類・第二石油類を混同しない。,
14,single,火災・消火・漏えい,PF-004;PF-027;第二石油類;灯油;標準;重点,第二石油類に該当する代表的な危険物として、正しいものはどれか。,,,,,,重油,メタノール,灯油,ジエチルエーテル,ガソリン,3,"灯油は第二石油類の代表例である。ガソリンは第一石油類、ジエチルエーテルは特殊引火物、メタノールはアルコール類、重油は第三石油類である。

【試験ポイント】灯油・軽油は第二石油類の代表例。

【ひっかけ】灯油と重油の分類を混同しない。

【選択肢ア】誤り。重油は第三石油類である。

【選択肢イ】誤り。メタノールはアルコール類である。

【選択肢ウ】正しい。灯油は第二石油類である。

【選択肢エ】誤り。ジエチルエーテルは特殊引火物である。

【選択肢オ】誤り。ガソリンは第一石油類である。",1:誤り。重油は第三石油類である。;2:誤り。メタノールはアルコール類である。;4:誤り。ジエチルエーテルは特殊引火物である。;5:誤り。ガソリンは第一石油類である。,灯油は第二石油類の代表例である。ガソリンは第一石油類、ジエチルエーテルは特殊引火物、メタノールはアルコール類、重油は第三石油類である。 正しい。灯油は第二石油類である。,灯油は第二石油類の代表例である。,灯油・軽油は第二石油類の代表例。 灯油と重油の分類を混同しない。,
15,single,火災・消火・漏えい,PF-005;PF-043;消火方法;物質別の消火方法;標準;重点,非水溶性の第4類危険物の火災に対する消火方法として、適切なものはどれか。,,,,,,液面を泡で覆い、可燃性蒸気の発生と空気の供給を抑える。,可燃性蒸気が充満した場所で火気を使用する。,火災中の液面を強い棒でかき混ぜる。,消火のために換気を止め、可燃性蒸気をためる。,流出した危険物を下水へ流す。,1,"非水溶性の第4類危険物火災では、泡で液面を覆い、可燃性蒸気の発生と酸素供給を抑える方法が有効である。流出拡大や火気使用は危険である。

【試験ポイント】非水溶性の第4類火災では泡消火が重要。

【ひっかけ】水溶性液体では耐アルコール泡などの区別が必要になる。

【選択肢ア】正しい。泡で液面を覆うことで窒息効果が期待できる。

【選択肢イ】誤り。可燃性蒸気がある場所で火気を使用するのは危険である。

【選択肢ウ】誤り。液面をかき混ぜると燃焼や流出を拡大するおそれがある。

【選択肢エ】誤り。可燃性蒸気をためることは危険である。

【選択肢オ】誤り。下水へ流すと火災や環境汚染の危険がある。",2:誤り。可燃性蒸気がある場所で火気を使用するのは危険である。;3:誤り。液面をかき混ぜると燃焼や流出を拡大するおそれがある。;4:誤り。可燃性蒸気をためることは危険である。;5:誤り。下水へ流すと火災や環境汚染の危険がある。,非水溶性の第4類危険物火災では、泡で液面を覆い、可燃性蒸気の発生と酸素供給を抑える方法が有効である。流出拡大や火気使用は危険である。 正しい。泡で液面を覆うことで窒息効果が期待できる。,非水溶性の第4類危険物火災では、泡で液面を覆い、可燃性蒸気の発生と酸素供給を抑える方法が有効である。,非水溶性の第4類火災では泡消火が重要。 水溶性液体では耐アルコール泡などの区別が必要になる。,
16,single,法令・制度,L-006;LAW-002;危険物の分類;第1類〜第6類の分類概要;応用;網羅,消防法上の危険物の類別と性質の組合せとして、正しいものはどれか。,,,,,,第1類 — 引火性液体,第2類 — 酸化性液体,第4類 — 自己反応性物質,第3類 — 自然発火性物質及び禁水性物質,第6類 — 可燃性固体,4,"消防法上の危険物は第1類から第6類に分かれる。第3類は自然発火性物質及び禁水性物質、第4類は引火性液体である。

【試験ポイント】第4類は引火性液体。第3類は自然発火性物質及び禁水性物質。

【ひっかけ】第4類と第5類、第2類と第6類を混同しない。

【選択肢ア】誤り。第1類は酸化性固体である。

【選択肢イ】誤り。第2類は可燃性固体である。

【選択肢ウ】誤り。第4類は引火性液体である。自己反応性物質は第5類である。

【選択肢エ】正しい。第3類は自然発火性物質及び禁水性物質である。

【選択肢オ】誤り。第6類は酸化性液体である。",1:誤り。第1類は酸化性固体である。;2:誤り。第2類は可燃性固体である。;3:誤り。第4類は引火性液体である。自己反応性物質は第5類である。;5:誤り。第6類は酸化性液体である。,消防法上の危険物は第1類から第6類に分かれる。第3類は自然発火性物質及び禁水性物質、第4類は引火性液体である。 正しい。第3類は自然発火性物質及び禁水性物質である。,消防法上の危険物は第1類から第6類に分かれる。,第4類は引火性液体。第3類は自然発火性物質及び禁水性物質。 第4類と第5類、第2類と第6類を混同しない。,
17,single,法令・制度,L-007;LAW-005;指定数量;第4類危険物の指定数量;応用;重点,法令上、ガソリンの指定数量として、正しいものはどれか。,,,,,,400 L,"1,000 L",50 L,200 L,100 L,4,"ガソリンは第1石油類の非水溶性液体に該当し、指定数量は200 Lである。

【試験ポイント】ガソリンは第1石油類の非水溶性液体、指定数量は200 L。

【ひっかけ】第1石油類は水溶性か非水溶性かで指定数量が異なる。

【選択肢ア】誤り。400 Lはアルコール類や第1石油類の水溶性液体の指定数量である。

【選択肢イ】誤り。1,000 Lは第2石油類の非水溶性液体の指定数量である。

【選択肢ウ】誤り。50 Lは特殊引火物の指定数量である。

【選択肢エ】正しい。ガソリンの指定数量は200 Lである。

【選択肢オ】誤り。ガソリンの指定数量ではない。","1:誤り。400 Lはアルコール類や第1石油類の水溶性液体の指定数量である。;2:誤り。1,000 Lは第2石油類の非水溶性液体の指定数量である。;3:誤り。50 Lは特殊引火物の指定数量である。;5:誤り。ガソリンの指定数量ではない。",ガソリンは第1石油類の非水溶性液体に該当し、指定数量は200 Lである。 正しい。ガソリンの指定数量は200 Lである。,ガソリンは第1石油類の非水溶性液体に該当し、指定数量は200 Lである。,ガソリンは第1石油類の非水溶性液体、指定数量は200 L。 第1石油類は水溶性か非水溶性かで指定数量が異なる。,
18,single,法令・制度,L-008;LAW-007;指定数量;指定数量の倍数計算;難関;重点,"ガソリン100 Lと灯油500 Lを同一場所で貯蔵する場合、指定数量の倍数として正しいものはどれか。ただし、ガソリンの指定数量は200 L、灯油の指定数量は1,000 Lとする。",,,,,,1.0倍,2.0倍,1.5倍,0.5倍,0.25倍,1,"指定数量の倍数は、貯蔵数量を指定数量で割って求める。ガソリンは100÷200＝0.5、灯油は500÷1,000＝0.5、合計1.0倍である。

【試験ポイント】複数危険物では、それぞれの指定数量倍数を求めて合算する。

【ひっかけ】数量を単純合計するのではなく、各指定数量で割ってから合算する。

【選択肢ア】正しい。0.5倍＋0.5倍＝1.0倍である。

【選択肢イ】誤り。指定数量そのものを足して計算するのではない。

【選択肢ウ】誤り。計算結果は1.0倍である。

【選択肢エ】誤り。ガソリンと灯油の倍数を合算する必要がある。

【選択肢オ】誤り。ガソリン分だけでも0.5倍である。",2:誤り。指定数量そのものを足して計算するのではない。;3:誤り。計算結果は1.0倍である。;4:誤り。ガソリンと灯油の倍数を合算する必要がある。;5:誤り。ガソリン分だけでも0.5倍である。,"指定数量の倍数は、貯蔵数量を指定数量で割って求める。ガソリンは100÷200＝0.5、灯油は500÷1,000＝0.5、合計1.0倍である。 正しい。0.5倍＋0.5倍＝1.0倍である。",指定数量の倍数は、貯蔵数量を指定数量で割って求める。,複数危険物では、それぞれの指定数量倍数を求めて合算する。 数量を単純合計するのではなく、各指定数量で割ってから合算する。,
19,single,法令・制度,L-009;LAW-010;製造所等;製造所等の基本分類;標準;重点,消防法令上の製造所等に含まれる施設の組合せとして、正しいものはどれか。,,,,,,住宅・店舗・駐車場,学校・病院・劇場,道路・橋・港湾,工場・倉庫・事務所,製造所・貯蔵所・取扱所,5,"危険物を製造し、貯蔵し、または取り扱う施設は、製造所、貯蔵所、取扱所に大別される。

【試験ポイント】製造所等は、製造所・貯蔵所・取扱所の総称。

【ひっかけ】一般的な建物用途と法令上の施設分類を混同しない。

【選択肢ア】誤り。製造所等の分類ではない。

【選択肢イ】誤り。保安距離等で関係する場合はあるが、製造所等の分類ではない。

【選択肢ウ】誤り。製造所等の分類ではない。

【選択肢エ】誤り。一般的な建物用途であり、製造所等の分類ではない。

【選択肢オ】正しい。製造所等は製造所、貯蔵所、取扱所をいう。",1:誤り。製造所等の分類ではない。;2:誤り。保安距離等で関係する場合はあるが、製造所等の分類ではない。;3:誤り。製造所等の分類ではない。;4:誤り。一般的な建物用途であり、製造所等の分類ではない。,危険物を製造し、貯蔵し、または取り扱う施設は、製造所、貯蔵所、取扱所に大別される。 正しい。製造所等は製造所、貯蔵所、取扱所をいう。,危険物を製造し、貯蔵し、または取り扱う施設は、製造所、貯蔵所、取扱所に大別される。,製造所等は、製造所・貯蔵所・取扱所の総称。 一般的な建物用途と法令上の施設分類を混同しない。,
20,single,法令・制度,L-010;LAW-023;危険物取扱者;甲種・乙種・丙種の違い;標準;重点,危険物取扱者の区分について、正しいものはどれか。,,,,,,甲種は、すべての種類の危険物を取り扱うことができる。,丙種は、第1類から第6類までのすべての危険物の立会いができる。,乙種第4類は、酸化性固体だけを対象とする。,甲種は、第4類危険物だけを取り扱う資格である。,乙種は、すべての種類の危険物を無条件で取り扱うことができる。,1,"甲種はすべての種類の危険物を取り扱うことができる。乙種は免状に指定された類、乙種第4類は第4類危険物が対象である。

【試験ポイント】甲種は全類、乙種は指定された類。

【ひっかけ】乙種と甲種の取扱範囲を混同しない。

【選択肢ア】正しい。甲種はすべての種類の危険物を対象とする。

【選択肢イ】誤り。丙種はすべての危険物の立会いができる資格ではない。

【選択肢ウ】誤り。乙種第4類は引火性液体を対象とする。

【選択肢エ】誤り。甲種は第4類だけに限られない。

【選択肢オ】誤り。乙種は免状に指定された類に限られる。",2:誤り。丙種はすべての危険物の立会いができる資格ではない。;3:誤り。乙種第4類は引火性液体を対象とする。;4:誤り。甲種は第4類だけに限られない。;5:誤り。乙種は免状に指定された類に限られる。,甲種はすべての種類の危険物を取り扱うことができる。乙種は免状に指定された類、乙種第4類は第4類危険物が対象である。 正しい。甲種はすべての種類の危険物を対象とする。,甲種はすべての種類の危険物を取り扱うことができる。,甲種は全類、乙種は指定された類。 乙種と甲種の取扱範囲を混同しない。,
21,single,物性・化学,PC-006;PC-020;熱;熱伝導・対流・放射;応用;重点,熱の伝わり方について、正しいものはどれか。,,,,,,放射は、物質の移動がなければ起こらない。,熱伝導・対流・放射はいずれも熱の移動とは無関係である。,対流は、真空中でだけ起こる熱の伝わり方である。,熱伝導は、主に物質内を熱が伝わる現象である。,熱は常に温度の低い方から高い方へ自然に移動する。,4,"熱の伝わり方には、熱伝導、対流、放射がある。熱伝導は物質内を熱が伝わる現象であり、対流は流体の移動、放射は電磁波による熱の移動である。

【試験ポイント】熱の伝わり方は熱伝導・対流・放射。

【ひっかけ】対流と放射の違いを区別する。

【選択肢ア】誤り。放射は物質の移動を必要としない。

【選択肢イ】誤り。いずれも熱の移動に関係する。

【選択肢ウ】誤り。対流は液体や気体など流体の移動によって起こる。

【選択肢エ】正しい。熱伝導は物質を通じて熱が伝わる現象である。

【選択肢オ】誤り。熱は通常、高温側から低温側へ自然に移動する。",1:誤り。放射は物質の移動を必要としない。;2:誤り。いずれも熱の移動に関係する。;3:誤り。対流は液体や気体など流体の移動によって起こる。;5:誤り。熱は通常、高温側から低温側へ自然に移動する。,熱の伝わり方には、熱伝導、対流、放射がある。熱伝導は物質内を熱が伝わる現象であり、対流は流体の移動、放射は電磁波による熱の移動である。 正しい。熱伝導は物質を通じて熱が伝わる現象である。,熱の伝わり方には、熱伝導、対流、放射がある。,熱の伝わり方は熱伝導・対流・放射。 対流と放射の違いを区別する。,
22,single,物性・化学,PC-007;PC-029;密度・比重;密度;標準;重点,密度の説明として、正しいものはどれか。,,,,,,密度は、物質の色を数値化した値である。,密度は、質量を体積で割った値である。,密度は、液体には使えない考え方である。,密度は、体積を質量で割った値である。,密度は、温度に関係なくすべての物質で同じである。,2,"密度は、単位体積あたりの質量を表す値であり、質量÷体積で求める。

【試験ポイント】密度＝質量÷体積。

【ひっかけ】密度と比重を混同しない。

【選択肢ア】誤り。色を表す値ではない。

【選択肢イ】正しい。密度＝質量÷体積である。

【選択肢ウ】誤り。密度は固体・液体・気体に用いられる。

【選択肢エ】誤り。体積÷質量ではない。

【選択肢オ】誤り。密度は物質や温度によって異なる。",1:誤り。色を表す値ではない。;3:誤り。密度は固体・液体・気体に用いられる。;4:誤り。体積÷質量ではない。;5:誤り。密度は物質や温度によって異なる。,密度は、単位体積あたりの質量を表す値であり、質量÷体積で求める。 正しい。密度＝質量÷体積である。,密度は、単位体積あたりの質量を表す値であり、質量÷体積で求める。,密度＝質量÷体積。 密度と比重を混同しない。,
23,single,物性・化学,PC-008;PC-032;密度・比重;蒸気比重;標準;重点,蒸気比重が空気より大きい可燃性蒸気の性質として、正しいものはどれか。,,,,,,酸素を放出して他の物質を燃焼させる。,必ず水に溶ける。,常に空気より速く上昇する。,絶対に引火しない。,低い場所に滞留しやすい。,5,"蒸気比重が空気より大きい可燃性蒸気は、低所に滞留しやすく、火気や静電気による引火に注意が必要である。

【試験ポイント】蒸気比重が大きい蒸気は低所に滞留しやすい。

【ひっかけ】蒸気比重と液比重、水溶性を混同しない。

【選択肢ア】誤り。酸素を放出する性質ではない。

【選択肢イ】誤り。蒸気比重が大きいことと水溶性は直接同じ意味ではない。

【選択肢ウ】誤り。空気より重い蒸気は上昇しにくい。

【選択肢エ】誤り。可燃性蒸気は引火する危険がある。

【選択肢オ】正しい。空気より重い蒸気は低所にたまりやすい。",1:誤り。酸素を放出する性質ではない。;2:誤り。蒸気比重が大きいことと水溶性は直接同じ意味ではない。;3:誤り。空気より重い蒸気は上昇しにくい。;4:誤り。可燃性蒸気は引火する危険がある。,蒸気比重が空気より大きい可燃性蒸気は、低所に滞留しやすく、火気や静電気による引火に注意が必要である。 正しい。空気より重い蒸気は低所にたまりやすい。,蒸気比重が空気より大きい可燃性蒸気は、低所に滞留しやすく、火気や静電気による引火に注意が必要である。,蒸気比重が大きい蒸気は低所に滞留しやすい。 蒸気比重と液比重、水溶性を混同しない。,
24,single,物性・化学,PC-009;PC-045;酸化・還元;酸化;応用;重点,酸化の説明として、正しいものはどれか。,,,,,,物質が酸素と化合することは、酸化の一例である。,酸化とは、物質が水素と化合することである。,酸化とは、物質の体積が必ず小さくなることである。,酸化とは、物質が必ず気体になることである。,酸化とは、物質が必ず水素を放出することである。,1,"酸化には、物質が酸素と化合する反応が含まれる。燃焼は急激な酸化反応として理解できる。

【試験ポイント】燃焼は急激な酸化反応と考えられる。

【ひっかけ】酸化と溶解、状態変化を混同しない。

【選択肢ア】正しい。酸素と化合することは酸化の一例である。

【選択肢イ】誤り。物質が水素を失うことが酸化であり、水素との化合は還元に近い反応である。

【選択肢ウ】誤り。体積変化だけで酸化は判断できない。

【選択肢エ】誤り。気体になることは状態変化であり、酸化とは限らない。

【選択肢オ】誤り。酸化は酸素と化合する反応などをいい、必ず水素を放出するとは限らない。",2:誤り。物質が水素を失うことが酸化であり、水素との化合は還元に近い反応である。;3:誤り。体積変化だけで酸化は判断できない。;4:誤り。気体になることは状態変化であり、酸化とは限らない。;5:誤り。酸化は酸素と化合する反応などをいい、必ず水素を放出するとは限らない。,酸化には、物質が酸素と化合する反応が含まれる。燃焼は急激な酸化反応として理解できる。 正しい。酸素と化合することは酸化の一例である。,酸化には、物質が酸素と化合する反応が含まれる。,燃焼は急激な酸化反応と考えられる。 酸化と溶解、状態変化を混同しない。,
